Stock,Expiration,Type,Strike,Last Price
AAPL,3/18/2022,Call,135,30.175
AAPL,3/18/2022,Call,140,25.3
AAPL,3/18/2022,Call,145,20.525
AAPL,3/18/2022,Call,150,15.85
AAPL,3/18/2022,Call,155,11.525
AAPL,3/18/2022,Call,160,7.525
AAPL,3/18/2022,Call,165,4.225
AAPL,3/18/2022,Call,170,1.935
AAPL,3/18/2022,Call,175,0.715
AAPL,3/18/2022,Call,180,0.26
AAPL,3/18/2022,Call,185,0.115
AAPL,3/18/2022,Call,187.5,0.12
AAPL,3/18/2022,Call,190,0.075
AAPL,3/18/2022,Call,195,0.055
AAPL,3/18/2022,Put,135,0.32
AAPL,3/18/2022,Put,140,0.435
AAPL,3/18/2022,Put,145,0.64
AAPL,3/18/2022,Put,150,1.015
AAPL,3/18/2022,Put,155,1.61
AAPL,3/18/2022,Put,160,2.64
AAPL,3/18/2022,Put,165,4.35
AAPL,3/18/2022,Put,170,7.075
AAPL,3/18/2022,Put,175,10.85
AAPL,3/18/2022,Put,180,15.4
AAPL,3/18/2022,Put,185,20.225
AAPL,3/18/2022,Put,190,25.175
AAPL,3/18/2022,Put,195,30.175
